stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code
1140,1140,Northlake / Green Meadow,,  43.494826, -80.559549,,,0,,1,
1141,1141,Northlake / Pine Island,,  43.493955, -80.562524,,,0,,2,
1142,1142,Highpoint / Cornerbrook,,  43.493243, -80.564755,,,0,,2,
1143,1143,Highpoint / Wintergreen,,  43.491189, -80.564523,,,0,,2,
1144,1144,Highpoint / Rolling Hills,,  43.488430, -80.563318,,,0,,2,
1145,1145,Highpoint / Dogwood,,  43.486818, -80.563318,,,0,,1,
1146,1146,Highpoint / Toll Gate,,  43.484941, -80.559992,,,0,,2,
1147,1147,Toll Gate / Glen Forrest,,  43.487188, -80.556674,,,0,,1,
1148,1148,Glen Forrest / Teakwood,,  43.486141, -80.553578,,,0,,2,
1149,1149,Cedarbrae / Glen Forrest,,  43.485665, -80.551565,,,0,,1,
1150,1150,Cedarbrae / Path To Heasley Park,,  43.487946, -80.550089,,,0,,1,
1151,1151,Flint / Kingswood,,  43.423224, -80.482215,,,0,,2,
1152,1152,Cedarbrae / Sprucehill,,  43.489613, -80.548061,,,0,,2,
1155,1155,Albert / Weber,,  43.491552, -80.537559,,,0,,1,
1156,1156,Albert / Longwood,,  43.490533, -80.539508,,,0,,1,
1157,1157,Albert / Quiet,,  43.487633, -80.541571,,,0,,1,
