service_id,date,exception_type
16-Sunday-1-23WINT-0000001,20230129,1
16-Sunday-1-23WINT-0000001,20230205,1
16-Sunday-1-23WINT-0000001,20230212,1
16-Sunday-1-23WINT-0000001,20230219,1
16-Sunday-1-23WINT-0000001,20230226,1
16-Sunday-1-23WINT-0000001,20230305,1
16-Sunday-1-23WINT-0000001,20230312,1
16-Sunday-1-23WINT-0000001,20230319,1
16-Sunday-1-23WINT-0000001,20230326,1
16-Sunday-1-23WINT-0000001,20230402,1
16-Sunday-1-23WINT-0000001,20230409,1
16-Sunday-1-23WINT-0000001,20230416,1
16-Sunday-1-23WINT-0000001,20230423,1
16-Weekday-1-23WINT-1111100,20230116,1
16-Weekday-1-23WINT-1111100,20230117,1
16-Weekday-1-23WINT-1111100,20230118,1
16-Weekday-1-23WINT-1111100,20230119,1
16-Weekday-1-23WINT-1111100,20230120,1
16-Weekday-1-23WINT-1111100,20230123,1
16-Weekday-1-23WINT-1111100,20230124,1
16-Weekday-1-23WINT-1111100,20230125,1
16-Weekday-1-23WINT-1111100,20230126,1
16-Weekday-1-23WINT-1111100,20230127,1
16-Weekday-1-23WINT-1111100,20230130,1
16-Weekday-1-23WINT-1111100,20230131,1
16-Weekday-1-23WINT-1111100,20230201,1
16-Weekday-1-23WINT-1111100,20230202,1
16-Weekday-1-23WINT-1111100,20230203,1
16-Weekday-1-23WINT-1111100,20230206,1
16-Weekday-1-23WINT-1111100,20230207,1
16-Weekday-1-23WINT-1111100,20230208,1
16-Weekday-1-23WINT-1111100,20230209,1
16-Weekday-1-23WINT-1111100,20230210,1
16-Weekday-1-23WINT-1111100,20230213,1
16-Weekday-1-23WINT-1111100,20230214,1
16-Weekday-1-23WINT-1111100,20230215,1
16-Weekday-1-23WINT-1111100,20230216,1
16-Weekday-1-23WINT-1111100,20230217,1
16-Weekday-1-23WINT-1111100,20230221,1
16-Weekday-1-23WINT-1111100,20230222,1
16-Weekday-1-23WINT-1111100,20230223,1
16-Weekday-1-23WINT-1111100,20230224,1
16-Weekday-1-23WINT-1111100,20230227,1
16-Weekday-1-23WINT-1111100,20230228,1
16-Weekday-1-23WINT-1111100,20230301,1
16-Weekday-1-23WINT-1111100,20230302,1
16-Weekday-1-23WINT-1111100,20230303,1
